code,name
GOOG/SHA_000001,SSE Composite Index (000001)
GOOG/SHA_000002,SSE A Share Index (000002)
GOOG/SHA_000003,SSE B Share Index (000003)
GOOG/SHA_000004,SSE Industrial Index (000004)
GOOG/SHA_000005,SSE Commercial Index (000005)
GOOG/SHA_000006,SSE Real Estate Index (000006)
GOOG/SHA_000007,SSE Utilities Index (000007)
GOOG/SHA_000008,SSE Conglomerates Index (000008)
GOOG/SHA_000009,SSE 380 Index (000009)
GOOG/SHA_000010,SSE 180 Index (000010)
GOOG/SHA_000011,SSE Fund Index (000011)
GOOG/SHA_000012,SSE Government Bond Index (000012)
GOOG/SHA_000013,SSE Corporate Bond Index (000013)
GOOG/SHA_000015,SSE Dividend Index (000015)
GOOG/SHA_000016,SSE 50 Index (000016)
GOOG/SHA_000017,SSE New Composite Index (000017)
GOOG/SHA_000018,SSE 180 Financials Index (000018)
GOOG/SHA_000019,SSE Corporate Governance Index (000019)
GOOG/SHA_000020,SSE Medium Enterprise Composite Index (000020)
GOOG/SHA_000022,SSE Enterprise Bond Index (000022)
GOOG/SHA_000023,SSE Detachable Convertible Bond Index (000023)
GOOG/SHA_000025,SSE 180 Infrastructure Index (000025)
GOOG/SHA_000026,SSE 180 Natural Resource Index (000026)
GOOG/SHA_000027,SSE 180 Transportation Index (000027)
GOOG/SHA_000028,SSE 180 Growth Index (000028)
GOOG/SHA_000029,SSE 180 Value Index (000029)
GOOG/SHA_000030,SSE 180 relative Growth Index (000030)
GOOG/SHA_000032,SSE Energy Sector Index (000032)
GOOG/SHA_000033,SSE Materials Sector Index (000033)
GOOG/SHA_000034,SSE Industrials Sector Index (000034)
GOOG/SHA_000035,SSE Consumer Discretionary Sector Index (000035)
GOOG/SHA_000036,SSE Consumer Staples Sector Index (000036)
GOOG/SHA_000037,SSE Health Care Sector Index (000037)
GOOG/SHA_000038,SSE Financials Sector Index (000038)
GOOG/SHA_000039,SSE Information Technology Sector Index (000039)
GOOG/SHA_000040,SSE Telecommunication Services Sector Index (000040)
GOOG/SHA_000041,SSE Utilities Sector Index (000041)
GOOG/SHA_000042,SSE Central State-owned Enterprises 50 Index (000042)
GOOG/SHA_000043,SSE Mega-cap Index (000043)
GOOG/SHA_000044,SSE MidCap Index (000044)
GOOG/SHA_000045,SSE SmallCap Index (000045)
GOOG/SHA_000046,SSE Mid&amp;Small Cap Index (000046)
GOOG/SHA_000047,SSE Large&amp;Mid&amp;Small Cap Index (000047)
GOOG/SHA_000048,SSE Social Responsibility Index (000048)
GOOG/SHA_000049,SSE Private-owned Enterprises 50 Index (000049)
GOOG/SHA_000050,SSE 50 Equal Weight Index (000050)
GOOG/SHA_000051,SSE 180 Equal Weight Index Index (000051)
GOOG/SHA_000052,SSE50 Fundamental Weighted Index (000052)
GOOG/SHA_000053,SSE180 Fundamental Weighted Index (000053)
GOOG/SHA_000054,SSE Overseas-listing A shares Index (000054)
GOOG/SHA_000055,SSE Local State-owned Enterprises 50 Index (000055)
GOOG/SHA_000056,SSE State-owned Enterprises 100 Index (000056)
GOOG/SHA_000057,SSE Large&amp;Mid&amp;Small Cap growth Index (000057)
GOOG/SHA_000058,SSE Large&amp;Mid&amp;Small Cap value Index (000058)
GOOG/SHA_000059,SSE Large&amp;Mid&amp;Small Cap relative growth Index (000059)
GOOG/SHA_000060,SSE Large&amp;Mid&amp;Small Cap relative value Index (000060)
GOOG/SHA_000061,SSE Corporate Bond 30 Index (000061)
GOOG/SHA_000062,SSE Shanghai Local Company Index (000062)
GOOG/SHA_000063,SSE Cyclical Industry 50 Index (000063)
GOOG/SHA_000064,SSE non-Cyclical Industry 100 Index (000064)
GOOG/SHA_000065,SSE Industry Top Index (000065)
GOOG/SHA_000066,SSE Commodity Equity Index (000066)
GOOG/SHA_000067,SSE Emerging Industries Index (000067)
GOOG/SHA_000068,SSE Natural Resource Index (000068)
GOOG/SHA_000069,SSE Consumer 80 Index (000069)
GOOG/SHA_000070,SSE Energy Sector Equal Weight Index (000070)
GOOG/SHA_000071,SSE Materials Sector Equal Weight Index (000071)
GOOG/SHA_000072,SSE Industrials Sector Equal Weight Index (000072)
GOOG/SHA_000073,SSE Consumer Discretionary Sector Equal Weight Index (000073)
GOOG/SHA_000074,SSE Consumer Staples Sector Equal Weight Index (000074)
GOOG/SHA_000075,SSE Health Care Sector Equal Weight Index (000075)
GOOG/SHA_000076,SSE Financials Sector Equal Weight Index (000076)
GOOG/SHA_000077,SSE Information Technology Sector Equal Weight Index (000077)
GOOG/SHA_000078,SSE Telecommunication Services Sector Equal Weight Index (000078)
GOOG/SHA_000079,SSE Utilities Sector Equal Weight Index (000079)
GOOG/SHA_000090,SSE Free Float Index (000090)
GOOG/SHA_000091,SSE Wealth Mid-Small Index (000091)
GOOG/SHA_000092,SSE Resource 50 index Index (000092)
GOOG/SHA_000093,SSE 180 Sector Equal Weight Index Index (000093)
GOOG/SHA_000094,SSE Upstream Industry Index Index (000094)
GOOG/SHA_000095,SSE Midstream Industry Index Index (000095)
GOOG/SHA_000096,SSE Downstream Industry Index Index (000096)
GOOG/SHA_000097,SSE High-End Equipment Manufacturing 60 index Index (000097)
GOOG/SHA_000098,SSEF 200 Index (000098)
GOOG/SHA_000099,SSEF 300 Index (000099)
GOOG/SHA_000100,SSEF 500 Index (000100)
GOOG/SHA_000101,SSE 5-Year Credit Bond Index Index (000101)
GOOG/SHA_000102,SSE Investment Commodity Index Index (000102)
GOOG/SHA_000103,SSE Consume Commodity Index Index (000103)
GOOG/SHA_000104,SSE 380 Energy Index Index (000104)
GOOG/SHA_000105,SSE 380 Materials Index Index (000105)
GOOG/SHA_000106,SSE 380 Industrials Index Index (000106)
GOOG/SHA_000107,SSE 380 Consumer Discretionary Index Index (000107)
GOOG/SHA_000108,SSE 380 Consumer Staples Index Index (000108)
GOOG/SHA_000109,SSE 380 Health Care Index Index (000109)
GOOG/SHA_000110,SSE 380 Financials Index Index (000110)
GOOG/SHA_000111,SSE 380 Information Technology Index Index (000111)
GOOG/SHA_000112,SSE 380 Telecommunication Services Index Index (000112)
GOOG/SHA_000113,SSE 380 Utilities Index Index (000113)
GOOG/SHA_000114,SSE Sustainable Development Industry Index (000114)
GOOG/SHA_000115,SSE 380 Equal Weight Index (000115)
GOOG/SHA_000116,SSE Credit Bond 100 Index (000116)
GOOG/SHA_000117,SSE 380 Growth Index Index (000117)
GOOG/SHA_000118,SSE 380 Value Index Index (000118)
GOOG/SHA_000119,SSE 380 Relative Growth Index Index (000119)
GOOG/SHA_000120,SSE 380 Relative Value Index Index (000120)
GOOG/SHA_000121,SSE Health Care theme Index Index (000121)
GOOG/SHA_000122,SSE agriculture theme index Index (000122)
GOOG/SHA_000123,SSE 180 Dynamic Index (000123)
GOOG/SHA_000125,SSE 180 Stability Index (000125)
GOOG/SHA_000126,SSE Consumer 50 Index Index (000126)
GOOG/SHA_000128,SSE380 Fundamental Weighted Index (000128)
GOOG/SHA_000129,SSE180 Volatility Weighted Index (000129)
GOOG/SHA_000130,SSE380 Volatility Weighted Index (000130)
GOOG/SHA_000131,SSE High and New Technology Enterprises Index (000131)
GOOG/SHA_000132,SSE 100 Index (000132)
GOOG/SHA_000133,SSE 150 Index (000133)
GOOG/SHA_000134,SSE Banks Index (000134)
GOOG/SHA_000135,SSE 180 High Beta Index (000135)
GOOG/SHA_000136,SSE 180 Low Beta Index (000136)
GOOG/SHA_000137,SSE 380 High Beta Index (000137)
GOOG/SHA_000138,SSE 380 Low Beta Index (000138)
GOOG/SHA_000139,SSE Convertible Bond Index (000139)
GOOG/SHA_000141,SSE 380 Dynamic Index (000141)
GOOG/SHA_000142,SSE 380 Stability Index (000142)
GOOG/SHA_000145,SSE Select Resources Industries Index (000145)
GOOG/SHA_000146,SSE Select Manufacturing Industries Index (000146)
GOOG/SHA_000147,SSE Select Consumption Industries Index (000147)
GOOG/SHA_000148,SSE Leading Consumption and Services Index (000148)
GOOG/SHA_000149,SSE 180 Dividend Index (000149)
GOOG/SHA_000150,SSE 380 Dividend Index (000150)
GOOG/SHA_000151,SSE State-owned Enterprises Dividend Index (000151)
GOOG/SHA_000152,SSE Central State-owned Enterprises Dividend Index (000152)
GOOG/SHA_000153,SSE Private-owned Enterprises Dividend Index (000153)
GOOG/SHA_000155,SSE Market Value Top 100 Index (000155)
GOOG/SHA_000158,SSE Environmental Protection Industry Index (000158)
GOOG/SHA_000300,CSI 300 Index (000300)
GOOG/SHA_000801,SHA (000801)
GOOG/SHA_000802,SHA (000802)
GOOG/SHA_000803,SHA (000803)
GOOG/SHA_000804,SHA (000804)
GOOG/SHA_000805,SHA (000805)
GOOG/SHA_000806,SHA (000806)
GOOG/SHA_000807,SHA (000807)
GOOG/SHA_000808,SHA (000808)
GOOG/SHA_000809,SHA (000809)
GOOG/SHA_000810,SHA (000810)
GOOG/SHA_000811,SHA (000811)
GOOG/SHA_000812,SHA (000812)
GOOG/SHA_000813,SHA (000813)
GOOG/SHA_000814,SHA (000814)
GOOG/SHA_000815,SHA (000815)
GOOG/SHA_000816,SHA (000816)
GOOG/SHA_000817,SHA (000817)
GOOG/SHA_000818,SHA (000818)
GOOG/SHA_000819,SHA (000819)
GOOG/SHA_000820,SHA (000820)
GOOG/SHA_000821,SHA (000821)
GOOG/SHA_000822,SHA (000822)
GOOG/SHA_000823,SHA (000823)
GOOG/SHA_000824,SHA (000824)
GOOG/SHA_000825,SHA (000825)
GOOG/SHA_000826,SHA (000826)
GOOG/SHA_000827,SHA (000827)
GOOG/SHA_000828,SHA (000828)
GOOG/SHA_000829,SHA (000829)
GOOG/SHA_000830,SHA (000830)
GOOG/SHA_000831,SHA (000831)
GOOG/SHA_000832,SHA (000832)
GOOG/SHA_000833,SHA (000833)
GOOG/SHA_000838,SHA (000838)
GOOG/SHA_000839,SHA (000839)
GOOG/SHA_000840,SHA (000840)
GOOG/SHA_000841,SHA (000841)
GOOG/SHA_000842,SHA (000842)
GOOG/SHA_000843,SHA (000843)
GOOG/SHA_000844,SHA (000844)
GOOG/SHA_000846,SHA (000846)
GOOG/SHA_000901,CSI Southern Well-Off Industry Index (000901)
GOOG/SHA_000902,CSI Free Float Index (000902)
GOOG/SHA_000903,CSI 100 Index (000903)
GOOG/SHA_000904,CSI 200 Index (000904)
GOOG/SHA_000905,CSI 500 Index (000905)
GOOG/SHA_000906,CSI 800 Index (000906)
GOOG/SHA_000907,CSI 700 Index (000907)
GOOG/SHA_000908,CSI 300 Energy Index (000908)
GOOG/SHA_000909,CSI 300 Materials Index (000909)
GOOG/SHA_000910,CSI 300 Industrials Index (000910)
GOOG/SHA_000911,CSI 300 Consumer Discretionary Index (000911)
GOOG/SHA_000912,CSI 300 Consumer Staples Index (000912)
GOOG/SHA_000913,CSI 300 Health Care Index (000913)
GOOG/SHA_000914,CSI 300 Financials Index (000914)
GOOG/SHA_000915,CSI 300 Information Technology Index (000915)
GOOG/SHA_000916,CSI 300 Telecommunication Services Index (000916)
GOOG/SHA_000917,CSI 300 Utilities Index (000917)
GOOG/SHA_000918,CSI 300 Growth Index (000918)
GOOG/SHA_000919,CSI 300 Value Index (000919)
GOOG/SHA_000920,CSI 300 Relative Growth Index (000920)
GOOG/SHA_000921,CSI 300 Relative Value Index (000921)
GOOG/SHA_000922,CSI Dividend Index (000922)
GOOG/SHA_000923,CSI Enterprise Bond Index (000923)
GOOG/SHA_000924,CSI Detachable Convertible Bond Index (000924)
GOOG/SHA_000925,CSI RAFI 50 Index (000925)
GOOG/SHA_000926,CSI Central State-owned Enterprises Composite Index (000926)
GOOG/SHA_000927,CSI Central State-owned Enterprises 100 Index (000927)
